epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,48.9308,0.655,0.69243,1.14485,0.8323,0.48424,0.55688,0.2551,1.75766,2.01968,1.43724,2.55731e-05,2.55731e-05,2.55731e-05
72,49.5963,0.64731,0.92234,1.17228,0.81801,0.48333,0.53834,0.25532,1.75138,2.0785,1.43531,2.5102e-05,2.5102e-05,2.5102e-05
73,50.2295,0.53234,0.5774,1.08142,0.81801,0.48333,0.53834,0.25532,1.75138,2.0785,1.43531,2.46073e-05,2.46073e-05,2.46073e-05
74,50.8605,1.06815,1.74529,1.49224,0.81801,0.48333,0.53834,0.25532,1.75138,2.0785,1.43531,2.40891e-05,2.40891e-05,2.40891e-05
75,51.5201,0.954,0.89113,1.24903,0.85686,0.46562,0.52291,0.26013,1.75357,2.08814,1.43098,2.35472e-05,2.35472e-05,2.35472e-05
76,52.1427,0.98261,0.97185,1.38544,0.85686,0.46562,0.52291,0.26013,1.75357,2.08814,1.43098,2.29819e-05,2.29819e-05,2.29819e-05
77,52.7682,0.67248,0.61759,1.0454,0.85686,0.46562,0.52291,0.26013,1.75357,2.08814,1.43098,2.23929e-05,2.23929e-05,2.23929e-05
78,53.4049,0.65315,0.97854,1.11579,0.85751,0.46419,0.51015,0.25233,1.76697,2.12521,1.43689,2.17805e-05,2.17805e-05,2.17805e-05
79,54.0457,0.90283,1.38527,1.34295,0.85751,0.46419,0.51015,0.25233,1.76697,2.12521,1.43689,2.11444e-05,2.11444e-05,2.11444e-05
80,54.6912,0.61279,0.58041,1.11157,0.85751,0.46419,0.51015,0.25233,1.76697,2.12521,1.43689,2.04848e-05,2.04848e-05,2.04848e-05
81,55.361,0.77155,0.78913,1.09246,0.85397,0.46468,0.5077,0.25517,1.77371,2.14067,1.43675,1.98016e-05,1.98016e-05,1.98016e-05
82,56.0004,0.45916,0.44302,0.94343,0.85397,0.46468,0.5077,0.25517,1.77371,2.14067,1.43675,1.90949e-05,1.90949e-05,1.90949e-05
83,56.6305,0.67957,0.72613,1.03493,0.85397,0.46468,0.5077,0.25517,1.77371,2.14067,1.43675,1.83646e-05,1.83646e-05,1.83646e-05
84,57.2987,0.78448,1.34752,1.23918,0.85981,0.45984,0.51116,0.24529,1.79929,2.15637,1.45493,1.76107e-05,1.76107e-05,1.76107e-05
85,57.9498,0.64241,0.72527,1.18297,0.85981,0.45984,0.51116,0.24529,1.79929,2.15637,1.45493,1.68333e-05,1.68333e-05,1.68333e-05
86,58.5712,0.66192,0.83033,1.1596,0.85981,0.45984,0.51116,0.24529,1.79929,2.15637,1.45493,1.60323e-05,1.60323e-05,1.60323e-05
87,59.2134,0.61575,0.65076,1.12727,0.85981,0.45984,0.51116,0.24529,1.79929,2.15637,1.45493,1.52077e-05,1.52077e-05,1.52077e-05
88,59.8384,0.75034,0.98548,1.13126,0.82543,0.4428,0.50619,0.23822,1.8144,2.19382,1.46793,1.43596e-05,1.43596e-05,1.43596e-05
89,60.4763,0.64545,0.68428,1.15298,0.82543,0.4428,0.50619,0.23822,1.8144,2.19382,1.46793,1.34879e-05,1.34879e-05,1.34879e-05
90,61.1088,0.79392,0.66159,1.08702,0.82543,0.4428,0.50619,0.23822,1.8144,2.19382,1.46793,1.25927e-05,1.25927e-05,1.25927e-05
91,70.1487,0.57169,0.52647,1.0492,0.82543,0.4428,0.50619,0.23822,1.8144,2.19382,1.46793,1.16739e-05,1.16739e-05,1.16739e-05
92,70.8517,0.45691,0.49979,0.85337,0.82154,0.45,0.50461,0.26076,1.81843,2.21316,1.47606,1.07315e-05,1.07315e-05,1.07315e-05
93,71.4853,0.47038,0.50998,0.95511,0.82154,0.45,0.50461,0.26076,1.81843,2.21316,1.47606,9.76562e-06,9.76562e-06,9.76562e-06
94,72.1046,0.59659,0.61759,1.11565,0.82154,0.45,0.50461,0.26076,1.81843,2.21316,1.47606,8.77613e-06,8.77613e-06,8.77613e-06
95,72.7161,0.56395,0.6355,1.08201,0.82154,0.45,0.50461,0.26076,1.81843,2.21316,1.47606,7.76308e-06,7.76308e-06,7.76308e-06
96,73.3658,0.82836,0.71061,1.22077,0.82251,0.45,0.51044,0.26928,1.80846,2.14877,1.45075,6.72648e-06,6.72648e-06,6.72648e-06
97,73.9655,0.52922,0.4432,0.90306,0.82251,0.45,0.51044,0.26928,1.80846,2.14877,1.45075,5.6663e-06,5.6663e-06,5.6663e-06
98,74.5763,0.53126,0.59118,0.99863,0.82251,0.45,0.51044,0.26928,1.80846,2.14877,1.45075,4.58257e-06,4.58257e-06,4.58257e-06
99,75.1891,0.55998,0.51943,1.00588,0.82251,0.45,0.51044,0.26928,1.80846,2.14877,1.45075,3.47528e-06,3.47528e-06,3.47528e-06
100,75.8218,0.45367,0.43344,0.93887,0.86462,0.45989,0.52092,0.27221,1.80445,2.0429,1.4485,2.34442e-06,2.34442e-06,2.34442e-06
